requested_density,run,initial_population,initial_susceptible,final_susceptible,final_recovered,final_healthy_density,mortality_fraction,infection_episodes,infection_episodes_per_initial_population,peak_infectious,peak_prevalence,duration_generations,time_to_peak,wave_count,resurgence_count,transition_role
30.0,26,78481.0,78469.0,78481.0,0.0,0.2993812561035156,0.0,15.0,0.0001911290630853,15.0,0.0001911290630853,119.0,5.0,0,0,low (nearest p10)
30.0,20,78515.0,78503.0,78514.0,0.0,0.2995071411132812,1.2736419792396357e-05,43.0,0.000547666051073,27.0,0.0003438833343947,152.0,9.0,0,0,median (nearest p50)
30.0,1,78427.0,78415.0,78426.0,0.0,0.2991714477539062,1.2750710852130006e-05,91.0,0.0011603146875438,38.0,0.0004845270123809,154.0,13.0,0,0,high (nearest p90)
35.0,14,91621.0,91609.0,91619.0,1.0,0.3495025634765625,1.0914528328658276e-05,55.0,0.0006002990580762,29.0,0.000316521321531,119.0,9.0,0,0,low (nearest p10)
35.0,2,91715.0,91703.0,91712.0,1.0,0.3498573303222656,2.1806683748568937e-05,143.0,0.0015591778880226,57.0,0.0006214904868342,195.0,21.0,0,0,median (nearest p50)
35.0,20,91665.0,91653.0,91661.0,0.0,0.3496589660644531,4.36371570392189e-05,327.0,0.0035673375879561,96.0,0.0010472917689412,541.0,35.0,0,0,high (nearest p90)
40.0,19,104939.0,104927.0,104938.0,0.0,0.4003067016601562,9.529345619836288e-06,139.0,0.0013245790411572,52.0,0.0004955259722314,235.0,16.0,0,0,low (nearest p10)
40.0,16,105088.0,105076.0,105033.0,2.0,0.4006767272949219,0.0005043392204628,3231.0,0.0307456607795371,478.0,0.004548568818514,410.0,151.0,1,0,median (nearest p50)
40.0,24,104967.0,104955.0,104583.0,0.0,0.3989524841308594,0.0036582926062476,19818.0,0.1888021949755637,540.0,0.0051444739775357,1834.0,230.0,1,0,high (nearest p90)
41.0,6,107680.0,107668.0,107673.0,3.0,0.4107513427734375,3.714710252600297e-05,321.0,0.0029810549777117,68.0,0.000631500742942,264.0,90.0,0,0,low (nearest p10)
41.0,4,107493.0,107481.0,107395.0,2.0,0.4096870422363281,0.0008930814099522,5296.0,0.0492683244490338,302.0,0.0028094852688082,1166.0,222.0,1,0,median (nearest p50)
41.0,30,107422.0,107410.0,105956.0,3.0,0.4042015075683594,0.013619184152222,81129.0,0.7552363575431476,1700.0,0.0158254361304015,2358.0,636.0,1,0,high (nearest p90)
42.0,16,109835.0,109823.0,109722.0,0.0,0.4185562133789062,0.0010288159511995,5927.0,0.0539627623253061,460.0,0.0041881003323166,919.0,110.0,1,0,low (nearest p10)
42.0,2,109913.0,109901.0,106030.0,5.0,0.4044914245605469,0.0352824506655263,207341.0,1.8864101607635129,4032.0,0.0366835588146989,3137.0,1123.0,1,0,median (nearest p50)
42.0,14,110331.0,110319.0,105779.0,2.0,0.4035224914550781,0.0412395428302109,243376.0,2.205871423262728,4446.0,0.0402969247083775,4108.0,1302.0,1,0,high (nearest p90)
43.0,21,112230.0,112218.0,107121.0,1.0,0.4086380004882812,0.0455136772698921,272115.0,2.424619085805934,4914.0,0.043785084202085,4568.0,647.0,3,2,low (nearest p10)
43.0,6,112913.0,112901.0,106763.0,10.0,0.4073066711425781,0.0543781495487676,332996.0,2.949137831781992,8323.0,0.0737116186798685,3784.0,796.0,1,0,median (nearest p50)
43.0,20,113132.0,113120.0,106234.0,7.0,0.4052772521972656,0.0609111480394583,370395.0,3.274007354241064,7150.0,0.0632005091397659,3868.0,732.0,1,0,high (nearest p90)
44.0,11,115502.0,115490.0,107563.0,4.0,0.4103355407714844,0.0687001090890201,426886.0,3.695918685390729,9093.0,0.0787259095080604,3564.0,679.0,1,0,low (nearest p10)
44.0,22,115521.0,115509.0,106999.0,0.0,0.4081687927246094,0.0737701370313622,456100.0,3.948199894391496,9029.0,0.0781589494550774,3076.0,647.0,1,0,median (nearest p50)
44.0,23,115465.0,115453.0,106344.0,40.0,0.40582275390625,0.078647209110986,487582.0,4.2227688043996014,8578.0,0.0742909106655696,3435.0,706.0,1,0,high (nearest p90)
45.0,25,117931.0,117919.0,107968.0,0.0,0.411865234375,0.0844816036495917,539650.0,4.575980870169845,9819.0,0.0832605506609797,4027.0,536.0,1,0,low (nearest p10)
45.0,13,118002.0,117990.0,107166.0,0.0,0.4088058471679687,0.0918289520516601,580709.0,4.921179302045728,9977.0,0.0845494144167048,3910.0,568.0,1,0,median (nearest p50)
45.0,30,118096.0,118084.0,106996.0,1.0,0.4081611633300781,0.0939828614008942,601389.0,5.092374000812898,10200.0,0.0863704105134805,4122.0,568.0,1,0,high (nearest p90)
50.0,30,131037.0,131025.0,108511.0,0.0,0.4139366149902344,0.1719056449705045,1213899.0,9.263788090386685,15115.0,0.115349099872555,4580.0,400.0,1,0,low (nearest p10)
50.0,4,130875.0,130863.0,107895.0,4.0,0.4116020202636719,0.175556829035339,1227789.0,9.38138681948424,14739.0,0.1126189111747851,4868.0,402.0,1,0,median (nearest p50)
50.0,17,131533.0,131521.0,108179.0,0.0,0.4126701354980469,0.1775524012985334,1264639.0,9.614613823147042,15591.0,0.1185329917207088,6692.0,406.0,2,1,high (nearest p90)
55.0,21,144110.0,144098.0,108857.0,20.0,0.4153327941894531,0.2444868503226701,1879265.0,13.040489903545902,19829.0,0.1375962806189716,5641.0,367.0,1,0,low (nearest p10)
55.0,18,143871.0,143859.0,108296.0,6.0,0.4131393432617187,0.2472284199039417,1907057.0,13.25532595172064,20122.0,0.1398614036185193,6320.0,376.0,1,0,median (nearest p50)
55.0,14,144744.0,144732.0,108361.0,3.0,0.4133758544921875,0.2513402973525673,1957019.0,13.520553528989112,20049.0,0.1385135135135135,6447.0,358.0,1,0,high (nearest p90)
60.0,16,157320.0,157308.0,109211.0,2.0,0.4166145324707031,0.305790744978388,2562610.0,16.28915586066616,24591.0,0.1563119755911517,6425.0,336.0,1,0,low (nearest p10)
60.0,14,157437.0,157425.0,108979.0,69.0,0.415985107421875,0.3073546879069088,2598899.0,16.507549051366578,24130.0,0.1532676562688567,6273.0,334.0,1,0,median (nearest p50)
60.0,19,157303.0,157291.0,108016.0,0.0,0.41204833984375,0.313325238552348,2641975.0,16.795452089279923,24081.0,0.1530867179901209,7252.0,336.0,1,0,high (nearest p90)
