requested_density,n,median_peak_prevalence,median_mortality_fraction,median_resurgence_count
30.0,30,0.000311639031679,1.268158444174842e-05,0.0
35.0,30,0.0005369929799761,2.180715930076548e-05,0.0
40.0,30,0.0030333991804058,0.0005415901049981,0.0
41.0,30,0.0040338815653886,0.0013511977961335,0.0
42.0,30,0.032105299345635,0.0351885996008637,0.0
43.0,30,0.055147396531361,0.0549605849831862,0.0
44.0,30,0.0735773829990106,0.0735495383203916,0.0
45.0,30,0.0843982055294801,0.0915018301790462,0.0
50.0,30,0.1162059633487217,0.1747865617615857,0.0
55.0,30,0.138507400956872,0.2467426872656897,0.0
60.0,30,0.1531771871294888,0.3078254707873975,0.0
