wave,event_type,start_generation,peak_generation,end_generation,peak_prevalence,baseline_prevalence,rebound_factor,elevated_generations,requested_density,run
1,initial outbreak,237,277,357,0.0022054087102726,,,90,35.0,24
1,initial outbreak,61,111,789,0.0030397446614484,,,316,40.0,3
1,initial outbreak,29,461,758,0.0054189205890461,,,657,40.0,4
1,initial outbreak,69,69,122,0.0015464507999541,,,4,40.0,5
1,initial outbreak,33,160,297,0.0030270536993632,,,233,40.0,8
1,initial outbreak,37,171,634,0.0067948985992055,,,382,40.0,10
1,initial outbreak,56,347,1530,0.0102494184050951,,,1273,40.0,12
1,initial outbreak,29,95,196,0.0037467823434073,,,115,40.0,13
1,initial outbreak,36,191,502,0.0029639654235802,,,233,40.0,14
1,initial outbreak,61,113,331,0.0042370449719762,,,194,40.0,15
1,initial outbreak,60,152,308,0.004548568818514,,,177,40.0,16
1,initial outbreak,23,64,492,0.0031145823411753,,,350,40.0,17
2,resurgence,904,980,1450,0.0034479474235641,1.9049433279359938e-05,174.3181818181818,190,40.0,17
3,resurgence,1873,1956,2356,0.0056672064006095,7.100243313215977e-05,77.3780487804878,367,40.0,17
4,resurgence,2438,2720,2894,0.0077626440613391,0.000374927482271,20.04618937644342,400,40.0,17
1,initial outbreak,51,94,313,0.0024274628235024,,,93,40.0,21
1,initial outbreak,61,341,816,0.005153458543289,,,557,40.0,23
1,initial outbreak,24,231,1633,0.0051444739775357,,,1208,40.0,24
1,initial outbreak,39,113,1197,0.005509405137019,,,881,40.0,25
1,initial outbreak,45,106,580,0.0042572601490041,,,118,40.0,26
1,initial outbreak,50,587,1702,0.0056526207605344,,,1412,40.0,27
1,initial outbreak,57,234,408,0.003403955071607,,,256,40.0,29
1,initial outbreak,84,635,739,0.003911119569872,,,395,40.0,30
2,resurgence,863,936,1067,0.003302088785269,0.0003693979332747,8.660421545667447,158,40.0,30
1,initial outbreak,73,250,379,0.0028533064786841,,,128,41.0,3
2,resurgence,642,655,843,0.0016597665137443,3.729812390436761e-05,42.977272727272734,19,41.0,3
1,initial outbreak,105,223,500,0.0028094852688082,,,253,41.0,4
1,initial outbreak,56,344,775,0.006990790798255,,,637,41.0,5
1,initial outbreak,39,132,258,0.0024746948496576,,,152,41.0,9
1,initial outbreak,87,344,455,0.0040641711229946,,,324,41.0,10
2,resurgence,640,923,1019,0.0029109509416414,5.833738454059309e-05,47.5072463768116,189,41.0,10
1,initial outbreak,27,659,1920,0.0231637262739119,,,1772,41.0,12
1,initial outbreak,33,2065,3386,0.0123098868120264,,,3229,41.0,14
2,resurgence,3722,3727,3876,0.0017784035123469,9.430927716991332e-05,17.57142857142857,31,41.0,14
1,initial outbreak,38,522,1015,0.0081381722130247,,,921,41.0,15
1,initial outbreak,94,103,199,0.0017192509641745,,,46,41.0,16
1,initial outbreak,178,964,2890,0.0094532923535438,,,2540,41.0,17
1,initial outbreak,33,543,1317,0.0128203931089219,,,1146,41.0,18
1,initial outbreak,59,909,1830,0.0154496347504828,,,1497,41.0,20
1,initial outbreak,29,210,509,0.0040035920077826,,,225,41.0,21
1,initial outbreak,127,1222,2301,0.0076757638682883,,,1878,41.0,22
1,initial outbreak,85,567,1640,0.0173507306306054,,,1470,41.0,23
1,initial outbreak,46,101,232,0.0032111119408557,,,118,41.0,24
1,initial outbreak,38,1037,2975,0.013757106906515,,,2614,41.0,25
1,initial outbreak,39,442,1319,0.0093451848539057,,,1190,41.0,27
1,initial outbreak,59,399,1395,0.0074872577104803,,,1118,41.0,28
2,resurgence,1817,2508,3683,0.0075709661817775,6.0033348102100665e-05,122.64788732394364,1738,41.0,28
1,initial outbreak,124,258,831,0.0053454446905342,,,609,41.0,29
1,initial outbreak,24,637,2085,0.0158254361304015,,,1878,41.0,30
1,initial outbreak,51,977,3102,0.0356828952256684,,,2923,42.0,1
1,initial outbreak,150,1124,2604,0.0366835588146989,,,2382,42.0,2
1,initial outbreak,39,981,3879,0.0226290062716755,,,3744,42.0,3
1,initial outbreak,33,744,2794,0.0515353756712457,,,2602,42.0,4
1,initial outbreak,42,50,118,0.0017877561391727,,,21,42.0,5
2,resurgence,368,1098,2348,0.0406374212752055,8.497410352320783e-05,475.0194174757282,1822,42.0,5
3,resurgence,2495,2626,2823,0.0047371000235947,0.0004149706220599,11.123260437375745,236,42.0,5
1,initial outbreak,37,909,2789,0.0325011775788977,,,2663,42.0,6
1,initial outbreak,75,1656,3157,0.0328124288122465,,,2911,42.0,7
1,initial outbreak,40,67,139,0.0027444066810854,,,59,42.0,8
1,initial outbreak,62,367,618,0.0033897072855987,,,342,42.0,9
