requested_density,run,initial_population,initial_susceptible,final_susceptible,final_recovered,final_healthy_density,mortality_fraction,infection_episodes,infection_episodes_per_initial_population,peak_infectious,peak_prevalence,duration_generations,time_to_peak,wave_count,resurgence_count
30.0,1,78427.0,78415.0,78426.0,0.0,0.2991714477539062,1.2750710852130006e-05,91.0,0.0011603146875438,38.0,0.0004845270123809,154.0,13.0,0,0
30.0,2,78844.0,78832.0,78844.0,0.0,0.3007659912109375,0.0,24.0,0.0003043985591801,22.0,0.0002790320125818,118.0,7.0,0,0
30.0,3,78844.0,78832.0,78843.0,1.0,0.3007659912109375,0.0,25.0,0.0003170818324793,19.0,0.0002409821926842,119.0,6.0,0,0
30.0,4,78788.0,78776.0,78788.0,0.0,0.3005523681640625,0.0,14.0,0.0001776920343199,14.0,0.0001776920343199,119.0,2.0,0,0
30.0,5,78779.0,78767.0,78778.0,0.0,0.3005142211914062,1.269373817895632e-05,59.0,0.0007489305525584,32.0,0.0004061996217266,119.0,19.0,0,0
30.0,6,78666.0,78654.0,78666.0,0.0,0.3000869750976562,0.0,62.0,0.0007881422723921,26.0,0.0003305112755192,119.0,9.0,0,0
30.0,7,78859.0,78847.0,78859.0,0.0,0.3008232116699219,0.0,66.0,0.0008369368112707,18.0,0.0002282554939829,402.0,10.0,0,0
30.0,8,78498.0,78486.0,78497.0,1.0,0.2994461059570312,0.0,51.0,0.0006496980814797,34.0,0.0004331320543198,119.0,24.0,0,0
30.0,9,78856.0,78844.0,78855.0,0.0,0.3008079528808594,1.2681343207872578e-05,108.0,0.0013695850664502,52.0,0.0006594298468093,145.0,17.0,0,0
30.0,10,78417.0,78405.0,78416.0,0.0,0.29913330078125,1.2752336865730646e-05,26.0,0.0003315607585089,20.0,0.0002550467373146,119.0,11.0,0,0
30.0,11,78488.0,78476.0,78485.0,0.0,0.2993965148925781,3.822240342472735e-05,39.0,0.0004968912445214,25.0,0.0003185200285393,119.0,8.0,0,0
30.0,12,78525.0,78513.0,78523.0,0.0,0.2995414733886719,2.546959567016873e-05,90.0,0.0011461318051575,38.0,0.0004839223177332,195.0,25.0,0,0
30.0,13,78853.0,78841.0,78852.0,0.0,0.3007965087890625,1.2681825675624264e-05,75.0,0.0009511369256718,43.0,0.0005453185040518,150.0,15.0,0,0
30.0,14,78379.0,78367.0,78378.0,0.0,0.2989883422851562,1.2758519501397055e-05,26.0,0.0003317215070363,22.0,0.0002806874290307,119.0,8.0,0,0
30.0,15,78443.0,78431.0,78443.0,0.0,0.2992362976074219,0.0,52.0,0.0006629017248192,27.0,0.0003441989725023,119.0,21.0,0,0
30.0,16,78563.0,78551.0,78563.0,0.0,0.2996940612792969,0.0,13.0,0.000165472296119,14.0,0.000178200934282,119.0,2.0,0,0
30.0,17,78471.0,78459.0,78471.0,0.0,0.2993431091308594,0.0,20.0,0.0002548712263129,17.0,0.0002166405423659,119.0,9.0,0,0
30.0,18,78629.0,78617.0,78627.0,1.0,0.2999420166015625,1.2717953935570844e-05,45.0,0.0005723079271006,27.0,0.0003433847562604,137.0,8.0,0,0
30.0,19,78681.0,78669.0,78681.0,0.0,0.3001441955566406,0.0,46.0,0.0005846392394606,22.0,0.0002796100710463,175.0,13.0,0,0
30.0,20,78515.0,78503.0,78514.0,0.0,0.2995071411132812,1.2736419792396357e-05,43.0,0.000547666051073,27.0,0.0003438833343947,152.0,9.0,0,0
30.0,21,78751.0,78739.0,78750.0,0.0,0.3004074096679687,1.2698251450775228e-05,29.0,0.0003682492920724,24.0,0.0003047580348186,119.0,3.0,0,0
30.0,22,78311.0,78299.0,78309.0,1.0,0.2987289428710937,1.2769598140746511e-05,33.0,0.0004213967386446,23.0,0.0002937007572371,119.0,11.0,0,0
30.0,23,78816.0,78804.0,78816.0,0.0,0.3006591796875,0.0,12.0,0.0001522533495736,14.0,0.0001776289078359,119.0,2.0,0,0
30.0,24,78449.0,78437.0,78447.0,0.0,0.2992515563964844,2.5494270162780917e-05,129.0,0.0016443804254993,32.0,0.0004079083226044,425.0,21.0,0,0
30.0,25,78517.0,78505.0,78513.0,0.0,0.2995033264160156,5.094438147152846e-05,70.0,0.0008915266757517,38.0,0.0004839716239795,195.0,13.0,0,0
30.0,26,78481.0,78469.0,78481.0,0.0,0.2993812561035156,0.0,15.0,0.0001911290630853,15.0,0.0001911290630853,119.0,5.0,0,0
30.0,27,78355.0,78343.0,78355.0,0.0,0.2989006042480469,0.0,27.0,0.0003445855401697,21.0,0.0002680109756875,119.0,9.0,0,0
