requested_density,n,median_burn_fraction,q25_burn_fraction,q75_burn_fraction,burn_fraction_iqr
50.0,30,0.00011043497196162386,9.345565824814213e-05,0.00016545950570940406,7.200384746126193e-05
55.0,30,0.00014230281048743527,0.00010580278072278366,0.00020629327413321813,0.00010049049341043447
60.0,30,0.00018461345461147835,0.00011608420205466463,0.0002470102413692692,0.0001309260393146046
65.0,30,0.0002377717255333991,0.00018358504462886234,0.00035027095766743615,0.0001666859130385738
70.0,30,0.0002693867321022959,0.00021251003582565577,0.00043880626069792627,0.0002262962248722705
75.0,30,0.0005489774065613343,0.00031559753209606603,0.0007498558211127165,0.00043425828901665043
80.0,30,0.0008194657305264473,0.0005763847612597925,0.0011799477023976032,0.0006035629411378107
85.0,30,0.0025112330311646593,0.0011676318814780938,0.004114966834775646,0.002947334953297552
86.0,30,0.0036289328647553225,0.0022005755519443927,0.0062945635851720215,0.004093988033227629
87.0,30,0.006319894724675661,0.004317654938018983,0.015366546500674375,0.011048891562655393
88.0,30,0.014291740454525765,0.007055743711457247,0.024053888497701174,0.016998144786243927
89.0,30,0.03755927773294471,0.00900867194402564,0.11438882273771792,0.10538015079369227
90.0,30,0.2762904098178214,0.024754125161487263,0.39796816185558154,0.37321403669409425
91.0,30,0.5332889553530309,0.5218726164150219,0.5453010807176455,0.023428464302623575
92.0,30,0.6049612659314642,0.5904279306346104,0.6099051656716159,0.01947723503700549
93.0,30,0.6475323544740544,0.6420105623981256,0.6574336114543851,0.015423049056259464
94.0,30,0.6865536221889024,0.6810039799633238,0.6895704607981203,0.008566480834796497
95.0,30,0.7201525848535586,0.7162796110380174,0.7236401576772136,0.007360546639196164
100.0,30,0.8746929028123236,0.8717726183754749,0.8775883905818442,0.005815772206369307
