requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
50.0,1,131132.0,131128.0,4.0,3.0503614678339382e-05,2.0,16.0,0.00012201445871335753,2.0,2.2877711008754536e-05,3,43845.0,4.561523548865321e-05,43599.0,4.5872611757150394e-05,43688.0,0.0
50.0,2,131127.0,131112.0,15.0,0.00011439291679059232,5.0,19.0,0.00014489769460141694,1.0,5.338336116894309e-05,6,43483.0,0.00018397994618586574,43721.0,2.2872303927174583e-05,43923.0,0.00013660269107301413
50.0,3,130756.0,130724.0,32.0,0.00024473064333567864,6.0,20.0,0.00015295665208479918,2.0,6.883049343815963e-05,7,43601.0,0.0004587050755716612,43462.0,0.00016106023652846165,43693.0,0.00011443480649074223
50.0,4,131482.0,131469.0,13.0,9.887284951552304e-05,4.0,20.0,0.00015211207617772774,1.0,6.08448304710911e-05,5,43897.0,9.112240016402031e-05,44037.0,0.00013624906328768988,43548.0,6.888950124001103e-05
50.0,5,130931.0,130905.0,26.0,0.00019857787689699154,6.0,21.0,0.00016038982364757008,2.0,5.346327454919003e-05,7,43722.0,0.00029733315035908694,43704.0,0.00018304960644334616,43505.0,0.00011492931846914148
50.0,6,131065.0,131042.0,23.0,0.00017548544615267233,7.0,24.0,0.00018311524815931026,1.0,9.155762407965513e-05,8,43603.0,0.00034401302662660825,43629.0,0.0001833642760549176,43833.0,0.0
50.0,7,130648.0,130635.0,13.0,9.950401077704979e-05,6.0,17.0,0.0001301206294776805,1.0,3.8270773375788375e-05,7,43852.0,0.00013682386208154702,43652.0,9.163383121048291e-05,43144.0,6.953458186538105e-05
50.0,8,130573.0,130565.0,8.0,6.126840924233953e-05,3.0,17.0,0.00013019536963997151,1.0,3.829275577646221e-05,4,43397.0,0.00011521533746572344,43311.0,2.308882270093048e-05,43865.0,4.559443747862761e-05
50.0,9,131055.0,131045.0,10.0,7.630384189843959e-05,3.0,20.0,0.00015260768379687917,2.0,4.578230513906375e-05,4,43328.0,0.00011539881831610044,43904.0,6.833090379008747e-05,43823.0,4.563813522579467e-05
50.0,10,131006.0,130974.0,32.0,0.0002442636215135185,9.0,20.0,0.00015266476344594904,2.0,5.3432667206082165e-05,10,43624.0,0.0005043095543737392,43578.0,0.00016063151131304787,43804.0,6.84868961738654e-05
50.0,11,131297.0,131267.0,30.0,0.00022848960753101745,7.0,21.0,0.00015994272527171223,1.0,6.854688225930524e-05,8,43447.0,0.00036826478237853016,43904.0,0.00022776967930029153,43946.0,9.102079825240067e-05
50.0,12,130820.0,130800.0,20.0,0.00015288182235132243,4.0,23.0,0.0001758140957040208,1.0,8.408500229322734e-05,5,43627.0,0.00020629426731152726,43745.0,0.00020573779860555492,43448.0,4.603203829865586e-05
50.0,13,131192.0,131178.0,14.0,0.00010671382401365937,4.0,17.0,0.00012958107201658638,1.0,3.811208000487834e-05,5,43835.0,0.00011406410402646287,43569.0,0.00013771259381670453,43788.0,6.851192107426693e-05
50.0,14,131129.0,131120.0,9.0,6.863470323116931e-05,4.0,17.0,0.00012964332832554203,2.0,3.050431254718636e-05,5,43448.0,0.00016111213404529552,43601.0,4.587050755716612e-05,44080.0,0.0
50.0,15,131292.0,131278.0,14.0,0.00010663254425250586,5.0,20.0,0.00015233220607500838,2.0,5.331627212625293e-05,6,43919.0,0.0001821535098704433,43337.0,6.922491173823753e-05,44036.0,6.812607866291217e-05
50.0,16,131495.0,131473.0,22.0,0.00016730674170120538,7.0,20.0,0.0001520970379101867,2.0,4.562911137305601e-05,8,44109.0,0.00034006665306400053,43661.0,9.161494239710497e-05,43725.0,6.86106346483705e-05
50.0,17,131548.0,131528.0,20.0,0.0001520357588104722,5.0,22.0,0.00016723933469151944,2.0,5.321251558366528e-05,6,43832.0,0.00029658696842489507,43716.0,0.0001372495196266813,44000.0,2.2727272727272726e-05
50.0,18,131283.0,131262.0,21.0,0.00015995978154064122,6.0,20.0,0.00015234264908632497,2.0,3.808566227158124e-05,7,43833.0,0.000319394063833185,43737.0,6.859181013786954e-05,43713.0,9.150595932560108e-05
